Item,P5531,P3377,P2088,P856
Q7783585,,,trainline,https://www.thetrainline.com/
Q68414326,,1210956D:FP,shift-technology,https://www.shift-technology.com/
Q28135616,,,playment,https://www.playment.io/
Q30324680,,,instabug,https://instabug.com/
Q96791280,0001481646,ACCD:US,accolade,https://www.accolade.com/
Q56027522,,,julia-computing,https://juliacomputing.com/
Q30271968,,,,https://flyzipline.com/
Q85756154,,,deepmap,https://www.nvidia.com/en-us/self-driving-cars/hd-mapping/
Q21463167,0001720671,1218138D:US,hashicorp,https://www.hashicorp.com/
Q64142358,0001470994,,promentis-pharmaceuticals,https://promentispharma.com/
Q30269416,0001657312,,verona-pharma,https://www.veronapharma.com/
Q4973660,,,bromium,https://www.hp.com/us-en/security/enterprise-pc-security.html
Q106283260,0001654843,1439329D:US,guild-education,https://www.guildeducation.com/
Q18156798,0001814329,,astra-2,https://astra.com/
Q55138084,0001789501,,pagecloud,https://www.pagecloud.com/
Q19757718,,1487284D:IN,paytm,https://paytm.com/en
Q153152,,,anine-bing,https://www.aninebing.com/
Q69652198,0001617956,,flosports,https://www.flosports.tv/
Q25422888,0001691493,,nubank,https://nubank.com.br/
Q59788069,0001595209,,zola,https://www.zola.com/
Q85847091,0001643176,,roofstock,https://www.roofstock.com/
Q60786375,,1575948D:US,unitedmasters,https://unitedmasters.com/
Q104481180,0001782303,1744935D:US,boundless-bio,https://boundlessbio.com/
Q107355248,,,dooly-research,https://www.dooly.ai/
Q107284444,0001720840,1551202D:US,current-6,https://current.com/
Q105822907,0001751020,1441280D:US,truebill,https://www.truebill.com/
Q30290691,0001042074,CBAY:US,cymabay-therapeutics,https://www.cymabay.com/
Q106221884,0001704292,ZLAB:US,zai-lab,http://zailaboratory.com/
Q18397448,0001472879,,,https://www.wcap.ca/
Q43080151,0001789097,1527041D:US,,https://insilico.com/
Q21708200,,1554630D:US,,https://openai.com/
Q60769460,,1118566D:US,,https://floqast.com/
Q21978988,0001803901,TALK:US,,https://www.talkspace.com/
Q66809068,0001724904,1559650D:US,,https://thriveglobal.com/
Q108896760,,1849437D:US,,https://www.fireblocks.com/
Q107377464,0001595910,0605173D:US,,https://www.noom.com/
Q16927950,,0865151D:IT,,https://www.overwolf.com/pages/homepage/
Q3414269,,3023703Z:FP,,https://www.questel.com/
Q17078090,,RGN:GR,,https://www.repligen.com/
Q43080154,0001686351,1383306D:US,morphy,https://www.eightsleep.com/
Q71017011,,,,https://golden.com/
Q98608948,,1569371D:US,,https://jfrog.com/
Q107348898,,,,https://outrightgames.com/
Q16845860,0001559689,,,https://www.brandlive.com/
Q30287564,0001445499,IMPL:US,impel-neuropharma,https://impelnp.com/
Q85865456,0001587141,,glossier,https://www.glossier.com/
Q37019245,0001691421,,lemonade,https://www.lemonade.com/
Q19604386,0001663923,,elysium-health,https://www.elysiumhealth.com/
Q30269153,,,nerre-therapeutics,https://www.nerretherapeutics.com/
Q106411832,,,medplasts,https://viantmedical.com/
Q28233552,,1577502D:CN,unsplash,https://unsplash.com/
Q30259146,0001514026,,,
Q22952981,,,serverless,https://www.serverless.com/
Q77083018,0001706431,,vir-biotechnology,https://www.vir.bio/
Q55606242,,1439927D:CH,bytedance,https://www.bytedance.com/
Q104844406,0001583708,,sentinel,https://www.sentinelone.com/
Q64167920,0001655120,,looking-glass,https://lookingglassfactory.com/
Q29096531,0001706443,,sifive,https://www.sifive.com/
Q48781517,,,hailo,https://free-now.com/
Q68279529,,,caffeine,https://www.caffeine.tv/
Q13645977,,,classdojo,https://www.classdojo.com/
Q174252,,,oag,https://www.oag.com
Q67186598,0001315098,RBLX:US,roblox,https://corp.roblox.com/
Q56276186,0001639825,,peloton-interactive,https://www.onepeloton.com/
Q29026065,0001830214,,ginkgo-bioworks,https://www.ginkgobioworks.com/
Q47508377,,1517602D:US,white-source,https://www.whitesourcesoftware.com/
Q21189383,0001651900,1312576D:US,instabase,https://instabase.com/
Q101115212,,,earplay,https://www.earplay.com/
Q16985014,0001704472,,boundless-2,https://www.boundless.com/
Q60390356,0001711658,,tidelift,https://tidelift.com/
Q48797772,0001671284,,bright-health,https://brighthealthcare.com/
Q5583067,,0863460D:US,good-worldwide-inc-good-magazine,https://goodinc.com
Q16840770,,,grammarly,https://www.grammarly.com/
Q104481181,,1616152D:US,casma-therapeutics,https://www.casmatx.com/
Q43401532,0001706815,,capella-space,https://www.capellaspace.com/
Q28669445,0000891293,,,
Q19995004,0001813756,0134620D:US,wework,https://www.wework.com/
Q25112257,,,careem,https://www.careem.com/
Q5502916,,1041078D:CN,freshbooks,https://www.freshbooks.com/
Q16967103,0001433714,CSLT:US,castlight-health,https://www.castlighthealth.com/
Q85769531,,,instana,https://www.instana.com/
Q55835167,,,payfit,https://payfit.com/
Q55080120,0001734722,PATH:US,uipath,https://www.uipath.com/
Q1471792,,9323Z:US,quark,https://www.quark.com/
Q30592225,,1490181D:LN,cloudreach,https://cloudreach.com/
Q30255441,,,canam-group,https://www.groupecanam.com/
Q30283815,0001648627,,amplyx-pharmaceuticals,https://www.pfizer.com/science/clinical-trials/expanded-access
Q100956344,0001724344,,entasis-therapeutics,https://www.entasistx.com/
Q55622683,,,meesho,https://meesho.com/
Q61918830,,1646821D:US,anduril-industries,https://www.anduril.com/
Q18150963,0001543916,,forgerock,https://www.forgerock.com/
Q19845045,0001560429,,the-zebra,https://www.thezebra.com/
Q106845206,,1396628D:US,messagebird,https://messagebird.com/en/
Q17009088,0001786654,,lumi,https://www.lumi.com/
Q106143931,0001664032,1463670D:US,betterup,https://www.betterup.com/
Q7684473,0001615157,1009567D:US,tapatalk,https://www.tapatalk.com
Q26794433,,,dexter-axle,https://www.dexko.com/
Q28133993,0001538379,,ibotta,https://home.ibotta.com/
Q59318110,0001733298,,qutoutiao,
Q7260704,,,puppet-labs,https://puppet.com/
Q61453272,,,yubico,https://www.yubico.com/
Q96372482,0001715660,1500313D:US,astranis,https://www.astranis.com/
Q63425822,0001730166,1648116D:US,chia-network,https://www.chia.net/
Q63930216,0001675225,,protocol-labs,https://filecoin.io/
Q28222782,0001434157,,zume-pizza,https://www.zume.com/
Q24901253,0001585081,,threat-stack,https://www.threatstack.com/
Q12001975,,,sonans-privatgymnas,https://sonans.no/
Q64363662,0001773751,HIMS:US,hims,https://www.forhims.com/
Q62034374,0001667362,,daily-harvest,https://www.daily-harvest.com/
Q97498226,,,behavox,https://www.behavox.com/
Q100956122,0001749425,1646043D:US,inari-8d6b,https://inari.com/
Q96621410,,,nines-855d,https://www.nines.com/
Q55631027,0001810019,,rackspace,https://www.rackspace.com/
Q30271780,0001720659,,pathai,https://www.pathai.com/
Q8069710,0001851003,1525312D:US,zeta-interactive,https://zetaglobal.com/
Q107518457,0001768622,,lightmatter-inc,https://lightmatter.co/
Q27676263,,,conet,https://www.conet.de/
Q797609,0001630805,,babcock-wilcox-enterprises,https://www.babcock.com/
Q56298005,,,donotpay,https://donotpay.com/
Q854605,,,bitdefender,https://www.bitdefender.com/
Q10521828,,HEM:SS,hemnet,https://www.hemnet.se/
Q5872652,,4008548Z:SS,hitta-se,https://www.hitta.se/
Q56192795,,,preveil,https://www.preveil.com/
Q22906936,,,browserstack,https://www.browserstack.com/
Q18395442,0001590472,,worldview,https://worldview.space/
Q17018510,,,pharmacy2u,
Q65056153,,,pony-ai,http://pony.ai/
Q67451786,0001735169,1648073D:CN,dapper-labs,https://www.dapperlabs.com/
Q55609449,,1575881D:SW,dfinity,https://dfinity.org/
Q75256038,0001656472,,,
Q101606525,0001828108,1579811D:US,aurora-6292,https://aurora.tech/
Q24807559,,,digitalguardian,https://digitalguardian.com/
Q5531757,0001637946,3388170Z:US,,https://www.generalcatalyst.com/
Q105724944,0001703356,1390079D:US,next-insurance,https://www.nextinsurance.com/
Q30284297,,9954228Z:US,biomedomics,
Q23016614,,1292708D:US,airtable,https://www.airtable.com/
Q20873932,0001855612,,,https://www.grab.com/sg/
Q6505117,,,lawyers-on-demand,
Q30284335,0001465968,165763Z:US,cardiofocus,https://www.cardiofocus.com/
Q96397546,0001609437,OPEN:US,opendoor-2,https://www.opendoor.com/
Q78083917,,,sisu-data,https://sisudata.com/
Q17011229,,,travel-counsellors,
Q27907429,,,darktrace,https://www.darktrace.com/en/
Q60768699,,,replit,https://replit.com/
Q25245388,0001300780,,starship-technologies,https://www.starship.xyz/
Q48797934,,,arrivo,https://arrivo-loop.com/
Q15991488,0001666810,,vicarious-systems-inc,https://www.vicarious.com/
Q103793759,0001666071,,cardlytics,https://www.cardlytics.com/
Q11935495,,0948095D:LH,vinted,https://www.vinted.com/
Q30282778,0001259942,BLU:CN,bellus-health,https://bellushealth.com/
Q28401676,0001634438,,nylas,https://www.nylas.com/
Q60740490,0001539122,,namely,https://www.namely.com/
Q61982942,,,kobold-metals,https://www.koboldmetals.com/
Q96413806,0001615165,,veritone,https://www.veritone.com/
Q17131133,0001776932,,medmen,http://medmen.com/
Q95158851,0001705110,,angi-homeservices,https://www.angi.com/
Q24906315,,0616765D:IN,oyo-rooms,https://www.oyorooms.com/
Q739711,,748448Z:US,epic-games-2,https://www.epicgames.com/store/en-US/
Q83958193,,,,
Q64681756,0001730886,1691459D:US,cameo-3,https://www.cameo.com/
Q30024526,,1396834D:FH,wolt,https://wolt.com/
Q20063746,,,perforce-software,https://www.perforce.com/
Q30255591,0001490109,0343535Z:US,carmot-therapeutics,
Q102229056,0001638826,1288933D:US,servicetitan,https://www.servicetitan.com/
Q39058719,0001659405,1410917D:US,gopuff,https://gopuff.com/
Q25206290,0001780246,1450489D:LN,monzo,https://monzo.com/usa/
Q54871457,0001708055,RBBN:US,ribbon-communications,https://ribboncommunications.com/
Q94126521,,1628585D:US,realtimeboard,https://miro.com/
Q919511,0001102541,,earthlink,https://www.earthlink.net/
Q17079789,0001687419,,securly,https://www.securly.com/
Q12010840,,,xxl-asa,https://www.xxl.no/
Q39087006,,1780565D:US,the-athletic,https://theathletic.com/
Q99294785,0001661662,1532558D:US,sleeper,https://sleeper.app/
Q16639197,0001653482,1429612D:US,gitlab-com,https://about.gitlab.com/
Q17083953,,GLTO:US,galecto-biotech,https://galecto.com/
Q22080567,,,sidewire,
Q5176149,0001777393,,chargepoint,https://chargepoint.com/
Q60775452,,,adahealth,https://ada.com/
Q11859863,,3285728Z:US,,
Q107061427,,1697434D:LN,rapyd,https://www.rapyd.net/
Q105539224,,0599521D:US,mailgun,https://www.mailgun.com/
Q106301980,0001770121,SANA:US,sana-biotechnology,https://sana.com/
Q25048613,0001625446,1491285D:US,piworldwide,https://www.predictiveindex.com/
Q105102719,0001531046,0263041Z:US,ezcater,https://www.ezcater.com/
Q6328512,0001539410,,kemp-technologies,https://kemptechnologies.com/
Q106640331,0001737506,1711148D:US,stord,https://www.stord.com/
Q4957208,,1255831D:US,brandwatch,https://www.brandwatch.com/
Q30646772,0001682061,,owl-labs,http://owllabs.com/
